,Table 13,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1264,,,Merchantville,1,0,0,0,0,0,1,0,0,0,3712
1265,,,Metuchen,0,1,0,0,0,0,0,1,0,0,14262
1266,,,Middle Township,0,0,1,0,0,0,1,0,0,0,18358
1267,,,Middletown Township,1,2,1,0,0,0,0,3,0,1,65469
1268,,,Millburn Township,0,2,0,0,0,0,0,0,0,2,20250
1269,,,Millville,1,0,1,0,0,0,0,1,1,0,27837
1270,,,Monmouth Beach,0,1,0,0,0,0,0,1,0,0,3231
1271,,,"Monroe Township, Gloucester County",1,1,0,0,0,2,2,1,0,1,36498
1272,,,"Monroe Township, Middlesex County",1,3,0,0,0,0,0,1,2,1,45597
1273,,,Montclair,2,1,0,0,0,0,1,0,1,1,38893
1274,,,Montgomery Township,2,0,0,0,0,0,0,0,1,1,23515
1275,,,Montville Township,0,1,0,0,0,0,1,0,0,0,21396
1276,,,Moorestown Township,6,1,0,0,0,0,2,1,3,1,20510
1277,,,Morris Township,0,1,0,0,0,0,1,0,0,0,22183
1278,,,Mountainside,0,1,0,0,0,0,0,1,0,0,6925
1279,,,Mount Holly Township,1,0,0,0,0,0,0,1,0,0,9658
1280,,,Mount Laurel Township,1,1,0,0,0,0,0,0,1,1,41629
1281,,,Neptune Township,8,8,2,0,0,1,0,0,2,17,27825
1282,,,New Brunswick,0,0,1,0,0,0,0,0,0,1,56577
1283,,,New Milford,1,1,0,0,0,0,0,0,0,2,16701
1284,,,New Providence,2,1,0,1,0,0,1,1,0,2,13283
1285,,,Newton,1,0,1,0,0,0,1,1,0,0,7824
1286,,,North Arlington,0,1,0,0,0,0,0,0,0,1,15868
1287,,,North Bergen Township3,1,3,0,0,0,0,0,0,1,2,63166
1288,,,Northfield,1,0,0,0,0,0,1,0,0,0,8324
1289,,,North Haledon,1,0,1,0,0,0,1,1,0,0,8469
1290,,,"Ocean Township, Monmouth County",2,2,1,0,0,0,1,2,0,2,26947
1291,,,Old Bridge Township,3,1,0,0,0,0,2,1,0,1,66321
1292,,,Oradell,0,1,0,0,0,0,0,1,0,0,8243
1293,,,Paramus,1,1,0,0,0,0,0,0,0,2,26744
1294,,,Parsippany-Troy Hills Township,1,0,0,0,0,0,1,0,0,0,52447
1295,,,Paulsboro,1,0,0,0,0,0,0,0,0,1,5812
1296,,,Pemberton Township,1,0,0,0,0,0,1,0,0,0,27212
1297,,,Pennsauken Township,1,0,0,0,0,0,1,0,0,0,35420
1298,,,Piscataway Township,0,3,0,0,0,0,2,1,0,0,57342
1299,,,Pitman,3,0,0,0,0,0,0,0,0,3,8696
1300,,,Pleasantville,0,1,0,0,0,0,0,0,0,1,20799
1301,,,Point Pleasant Beach,1,0,0,0,0,0,0,0,1,0,4472
1302,,,Pompton Lakes,1,3,1,0,0,0,1,1,2,1,11062
1303,,,Princeton,0,0,1,0,0,0,1,0,0,0,31856
1304,,,Rahway,2,0,0,0,0,0,0,0,0,2,30113
1305,,,Randolph Township,2,2,0,0,0,0,1,3,0,0,25552
1306,,,Raritan Township,1,0,0,0,0,0,0,1,0,0,22092
1307,,,Ridgefield Park,1,0,0,0,0,0,0,0,0,1,13028
1308,,,Ridgewood,1,4,0,0,0,0,1,1,0,3,25429
1309,,,Riverside Township,1,0,0,0,0,0,0,0,0,1,7875
1310,,,River Vale Township,0,1,0,0,0,0,0,0,0,1,10157
1311,,,Rockaway Township,9,3,2,0,0,0,9,2,1,2,25328
1312,,,Roselle,2,0,0,0,0,0,0,1,1,0,21787
1313,,,Scotch Plains Township,0,1,0,0,0,0,0,0,0,1,24423
1314,,,Sea Girt,1,0,0,0,0,0,0,1,0,0,1766
1315,,,Secaucus,1,0,0,0,0,0,0,0,0,1,20482
1316,,,Shrewsbury,1,0,0,0,0,0,0,0,0,1,4170
1317,,,South Brunswick Township3,4,4,0,0,0,0,2,3,1,1,46340
1318,,,South Orange Village,2,1,0,0,0,0,0,1,2,0,16880
1319,,,South Plainfield,1,0,0,0,0,0,1,0,0,0,24238
1320,,,Sparta Township,2,0,0,0,0,0,1,0,0,1,18694
1321,,,Spotswood,1,0,1,0,0,0,1,1,0,0,8364
1322,,,Stanhope,0,1,0,0,0,0,0,0,0,1,3306
1323,,,Summit,1,4,0,0,0,0,1,0,0,4,22125
1324,,,Teaneck Township,0,1,0,0,0,2,0,1,1,1,40939
1325,,,Tenafly,0,1,0,0,0,0,0,1,0,0,14742
1326,,,Tinton Falls,2,0,0,0,1,0,1,0,2,0,17754
1327,,,Toms River Township,1,5,0,0,0,0,0,3,1,2,92191
1328,,,Totowa,1,0,0,0,0,0,1,0,0,0,10666
1329,,,Tuckerton,1,0,0,0,0,0,0,1,0,0,3336
1330,,,Union City,1,1,0,0,0,0,0,1,1,0,69950
1331,,,Verona,0,1,0,0,0,0,1,0,0,0,13437
1332,,,Vineland,2,0,0,0,0,0,0,0,2,0,60330
1333,,,Voorhees Township3,2,1,0,0,0,0,1,0,0,1,29071
1334,,,"Washington Township, Gloucester County",0,1,0,0,0,0,0,0,1,0,47024
1335,,,"Washington Township, Morris County",0,1,0,0,0,0,0,0,0,1,18484
1336,,,"Washington Township, Warren County",1,0,0,0,0,0,0,0,1,0,6434
1337,,,Wayne Township,2,2,0,0,0,0,0,0,1,3,54340
1338,,,Weehawken Township,1,0,0,0,0,0,1,0,0,0,15567
