,state,city,race,religion,sexual orientation,disability,gender,gender identity,population,percent per pop
189,California,San Marcos,1.0,0.0,0.0,0.0,0.0,0.0,98088.0,0.001019492700432265
190,California,San Mateo,0.0,0.0,1.0,0.0,0.0,0.0,105839.0,0.0009448313003713187
191,California,San Pablo,0.0,1.0,0.0,0.0,0.0,0.0,31403.0,0.0031844091328853933
192,California,San Rafael,3.0,1.0,0.0,0.0,0.0,0.0,59254.0,0.006750599115671516
193,California,San Ramon,0.0,1.0,0.0,0.0,0.0,0.0,76569.0,0.0013060115712625214
194,California,Santa Ana,6.0,6.0,1.0,0.0,0.0,0.0,335403.0,0.0038759343237836272
195,California,Santa Barbara,2.0,0.0,0.0,0.0,0.0,0.0,92630.0,0.002159127712404189
196,California,Santa Clarita,0.0,0.0,1.0,0.0,0.0,0.0,216589.0,0.00046170396465194447
197,California,Santa Cruz,5.0,2.0,3.0,0.0,0.0,0.0,65680.0,0.01522533495736906
198,California,Santa Maria,1.0,0.0,0.0,0.0,0.0,0.0,108100.0,0.0009250693802035152
199,California,Santa Monica,1.0,0.0,0.0,0.0,0.0,0.0,92674.0,0.0010790512980987117
200,California,Santa Rosa,2.0,1.0,3.0,0.0,0.0,0.0,176325.0,0.0034028073160357296
201,California,Santee,1.0,0.0,0.0,0.0,0.0,0.0,58781.0,0.0017012299892822512
202,California,Scotts Valley,0.0,0.0,1.0,0.0,0.0,0.0,11998.0,0.00833472245374229
203,California,Seaside,1.0,0.0,0.0,0.0,0.0,0.0,34303.0,0.002915196921552051
204,California,Simi Valley,4.0,2.0,1.0,0.0,0.0,0.0,127222.0,0.005502193016931034
205,California,South Gate,1.0,0.0,0.0,0.0,0.0,0.0,95570.0,0.0010463534581981794
206,California,South Lake Tahoe,0.0,2.0,3.0,0.0,0.0,0.0,22060.0,0.022665457842248413
207,California,South Pasadena,1.0,0.0,0.0,0.0,0.0,0.0,25924.0,0.003857429409041814
208,California,Stockton,2.0,1.0,1.0,0.0,0.0,0.0,313158.0,0.0012773104950216823
209,California,Sunnyvale,2.0,2.0,0.0,0.0,0.0,0.0,155637.0,0.0025700829494271927
210,California,Thousand Oaks,1.0,0.0,0.0,0.0,0.0,0.0,129319.0,0.000773281575019912
211,California,Torrance,0.0,0.0,2.0,0.0,0.0,0.0,146968.0,0.0013608404550650482
212,California,Tracy,0.0,0.0,2.0,0.0,0.0,0.0,91988.0,0.00217419663434361
213,California,Turlock,1.0,0.0,1.0,0.0,0.0,0.0,74267.0,0.0026929861176565634
214,California,Union City,1.0,0.0,0.0,0.0,0.0,0.0,76198.0,0.001312370403422662
215,California,Upland,2.0,0.0,0.0,0.0,0.0,0.0,77453.0,0.0025822111474055236
216,California,Vallejo,1.0,0.0,0.0,0.0,0.0,0.0,122974.0,0.0008131800217932245
